id_factura,id_cliente,periodo,id_plan,monto,fecha_vencimiento,fecha_pago,medio_pago
F543599,C2472,2025-06,P04,69397.66,2025-07-10,2025-07-25,Débito automático
F584439,C1194,2026-04,P05,113263.5,2026-05-10,2026-05-10,Débito automático
F568995,C2794,2025-12,P02,43263.62,2026-01-10,,
F572566,C2038,2026-01,P01,29961.12,2026-02-10,,
F593676,C2375,2026-06,P03,64580.87,2026-07-10,,
F582524,C3934,2026-03,P02,41387.33,2026-04-10,2026-04-25,Débito automático
F566937,C5328,2025-11,P01,27242.9,2025-12-10,2025-12-10,Débito automático
F502281,C3281,2024-08,P02,30031.72,2024-09-10,2024-09-10,Mercado Pago
F527596,C3262,2025-02,P06,99876.07,2025-03-10,2025-03-10,Débito automático
F582029,C3328,2026-03,P02,41256.64,2026-04-10,2026-04-12,Débito automático
F522622,C2472,2025-01,P04,63772.93,2025-02-10,2025-03-04,Tarjeta
F515503,C3855,2024-11,P03,41440.58,2024-12-10,2024-12-10,Transferencia
F555889,C2201,2025-09,P02,40048.21,2025-10-10,,
F519475,C3592,2024-12,P02,32762.1,2025-01-10,2025-01-13,Débito automático
F570920,C5084,2025-12,P04,82208.66,2026-01-10,2026-01-10,Débito automático
F558710,C5465,2025-09,P01,28302.27,2025-10-10,2025-10-10,Tarjeta
F514042,C2346,2024-11,P02,30891.13,2024-12-10,2024-12-10,Débito automático
F521162,C5349,2024-12,P01,23843.71,2025-01-10,2025-01-16,Débito automático
F532074,C3547,2025-03,P05,81196.36,2025-04-10,2025-04-10,Débito automático
F508297,C5090,2024-09,P03,42607.1,2024-10-10,2024-10-10,Mercado Pago
F583756,C5465,2026-03,P01,30303.71,2026-04-10,,
F598692,C3534,2026-07,P01,34475.61,2026-08-10,2026-08-10,Mercado Pago
F558878,C5644,2025-09,P01,27508.24,2025-10-10,2025-10-10,Efectivo / Sucursal
F544608,C3595,2025-06,P01,26885.39,2025-07-10,13/07/2025,Transferencia
F540196,C3293,2025-05,P05,89481.25,2025-06-10,2025-06-10,Efectivo / Sucursal
F535260,C2450,2025-04,P01,25160.7,2025-05-10,2025-05-10,Débito automático
F535191,C2375,2025-04,P03,49453.83,2025-05-10,2025-05-11,Tarjeta
F551430,C1885,2025-08,P02,38580.09,2025-09-10,2025-09-10,Mercado Pago
F584715,C1519,2026-04,P02,47067.49,2026-05-10,2026-05-22,Débito automático
F510836,C3388,2024-10,P05,71972.02,2024-11-10,2024-11-10,Débito automático
F598086,C2752,2026-07,P01,32738.85,2026-08-10,2026-08-15,Transferencia
F502181,C3181,2024-08,P02,30728.38,2024-09-10,2024-09-10,Tarjeta
F578988,C4720,2026-02,P02,43822.33,2026-03-10,2026-03-20,Mercado Pago
F542955,C1749,2025-06,P06,113765.76,2025-07-10,2025-07-10,Transferencia
F510013,C2551,2024-10,P01,22420.58,2024-11-10,,
F512733,C5322,2024-10,P01,21880.71,2024-11-10,,
F587028,C4371,2026-04,P01,33023.24,2026-05-10,2026-05-10,Efectivo / Sucursal
F532201,C3685,2025-03,P06,102926.76,2025-04-10,2025-04-10,Efectivo / Sucursal
F560216,C2358,2025-10,P01,27826.49,2025-11-10,2025-11-10,Débito automático
F523797,C3707,2025-01,P02,33056.92,2025-02-10,,
F587395,C4840,2026-04,P04,87509.16,2026-05-10,2026-05-10,Efectivo / Sucursal
F576444,C1649,2026-02,P03,57759.7,2026-03-10,2026-03-10,Débito automático
F582629,C4063,2026-03,P02,42922.36,2026-04-10,2026-04-19,Efectivo / Sucursal
F540905,C4101,2025-05,P01,26349.87,2025-06-10,2025-06-10,Mercado Pago
F522005,C1819,2025-01,P06,103692.47,2025-02-10,10/02/2025,Efectivo / Sucursal
F584526,C1296,2026-04,P02,46201.06,2026-05-10,,
F527602,C3268,2025-02,P01,23508.06,2025-03-10,2025-03-10,Tarjeta
F574851,C4766,2026-01,P06,133422.31,2026-02-10,2026-02-10,Transferencia
F513328,C1607,2024-11,P01,21934.06,2024-12-10,10/12/2024,Débito automático
F582096,C3410,2026-03,P03,59429.61,2026-04-10,2026-04-10,Débito automático
F545676,C4810,2025-06,P03,50487.43,2025-07-10,,
F564525,C2490,2025-11,P02,39649.05,2025-12-10,2025-12-10,Débito automático
F581886,C3151,2026-03,P02,42599.56,2026-04-10,10/04/2026,Transferencia
F531080,C2474,2025-03,P01,23455.0,2025-04-10,,
F589874,C2755,2026-05,P01,34095.98,2026-06-10,2026-06-10,Débito automático
F575935,C1049,2026-02,P05,107687.94,2026-03-10,2026-03-10,Débito automático
F585004,C1870,2026-04,P01,33063.13,2026-05-10,2026-05-10,Débito automático
F510766,C3316,2024-10,P04,59389.16,2024-11-10,2024-11-10,Débito automático
F509999,C2537,2024-10,P01,22424.75,2024-11-10,2024-11-10,Tarjeta
F542990,C1788,2025-06,P04,69925.37,2025-07-10,2025-07-13,Transferencia
F514645,C2967,2024-11,P01,22486.22,2024-12-10,2024-12-10,Efectivo / Sucursal
F589498,C2302,2026-05,P01,33887.44,2026-06-10,,
F512897,C1162,2024-11,P01,22099.39,2024-12-10,10/12/2024,Débito automático
F532627,C4155,2025-03,P02,32219.4,2025-04-10,2025-04-19,Transferencia
F529893,C1196,2025-03,P05,81922.01,2025-04-10,2025-04-10,Débito automático
F524778,C4740,2025-01,P02,33726.67,2025-02-10,2025-02-10,Mercado Pago
F579470,C5311,2026-02,P02,40969.32,2026-03-10,2026-03-10,Transferencia
F521551,C1348,2025-01,P01,24034.65,2025-02-10,,
F570083,C4089,2025-12,P05,105661.07,2026-01-10,2026-01-10,Mercado Pago
F546034,C5209,2025-06,P02,36284.55,2025-07-10,2025-07-10,Transferencia
F517031,C1050,2024-12,P02,33559.2,2025-01-10,10/01/2025,Débito automático
F501385,C2385,2024-08,P02,29695.16,2024-09-10,2024-09-10,Débito automático
F556591,C2995,2025-09,P06,125099.48,2025-10-10,2025-10-10,Mercado Pago
F505905,C2673,2024-09,P04,57641.49,2024-10-10,2024-10-10,Débito automático
F518728,C2814,2024-12,P03,45468.62,2025-01-10,10/01/2025,Débito automático
F577885,C3373,2026-02,P01,30945.93,2026-03-10,2026-03-10,Transferencia
F553394,C4132,2025-08,P03,54298.81,2025-09-10,2025-09-10,Débito automático
F585809,C2853,2026-04,P01,33003.99,2026-05-10,2026-05-10,Transferencia
F529846,C1146,2025-03,P02,32565.27,2025-04-10,10/04/2025,Transferencia
F554869,C1048,2025-09,P04,74321.2,2025-10-10,19/10/2025,Mercado Pago
F549304,C4225,2025-07,P01,26692.17,2025-08-10,10/08/2025,Mercado Pago
F524695,C4656,2025-01,P05,80292.44,2025-02-10,10/02/2025,Débito automático
F546264,C5478,2025-06,P05,86937.71,2025-07-10,2025-07-10,Mercado Pago
F599073,C4030,2026-07,P03,64023.16,2026-08-10,10/08/2026,Débito automático
F516758,C5142,2024-11,P01,21501.0,2024-12-10,10/12/2024,Débito automático
F501323,C2323,2024-08,P04,59685.41,2024-09-10,,
F507163,C3947,2024-09,P01,21853.71,2024-10-10,2024-10-10,Transferencia
F588706,C1310,2026-05,P06,149423.74,2026-06-10,20/06/2026,Débito automático
F596587,C6051,2026-06,P01,34216.22,2026-07-10,2026-07-10,Transferencia
F594707,C3660,2026-06,P02,46014.34,2026-07-10,2026-07-10,Transferencia
F509963,C2501,2024-10,P02,29757.2,2024-11-10,2024-11-10,Mercado Pago
F595478,C4677,2026-06,P04,88592.6,2026-07-10,2026-07-13,Mercado Pago
F519031,C3130,2024-12,P02,32261.93,2025-01-10,14/01/2025,Débito automático
F526770,C2388,2025-02,P03,44474.35,2025-03-10,2025-03-10,Débito automático
F543074,C1882,2025-06,P01,25929.38,2025-07-10,2025-07-10,Débito automático
F544933,C3978,2025-06,P05,91142.41,2025-07-10,10/07/2025,Débito automático
F514791,C3120,2024-11,P05,74168.81,2024-12-10,,
F532878,C4423,2025-03,P01,24593.08,2025-04-10,10/04/2025,Débito automático
F527915,C3601,2025-02,P04,63395.63,2025-03-10,2025-03-10,Débito automático
F585975,C3053,2026-04,P01,34743.99,2026-05-10,2026-05-10,Transferencia
F555720,C2003,2025-09,P03,53084.63,2025-10-10,,
F532284,C3776,2025-03,P02,32658.57,2025-04-10,2025-04-21,Mercado Pago
F588819,C1448,2026-05,P02,46265.81,2026-06-10,2026-06-10,Transferencia
F536668,C4008,2025-04,P05,89309.2,2025-05-10,,
F523949,C3872,2025-01,P02,32081.86,2025-02-10,,
F558841,C5605,2025-09,P01,28828.6,2025-10-10,2025-10-17,Transferencia
F598278,C2995,2026-07,P06,145312.3,2026-08-10,2026-08-10,Transferencia
F541711,C4999,2025-05,P05,87976.99,2025-06-10,2025-06-10,Débito automático
F593471,C2101,2026-06,P03,62613.59,2026-07-10,2026-07-10,Débito automático
F543214,C2038,2025-06,P01,26161.07,2025-07-10,2025-07-10,Tarjeta
F551834,C2350,2025-08,P03,55739.9,2025-09-10,2025-09-10,Transferencia
F502440,C3440,2024-08,P06,96351.03,2024-09-10,,
F582886,C4377,2026-03,P01,30836.81,2026-04-10,2026-04-10,Mercado Pago
F548841,C3685,2025-07,P06,109845.79,2025-08-10,,
F527999,C3692,2025-02,P03,46097.3,2025-03-10,2025-03-10,Efectivo / Sucursal
F583853,C5584,2026-03,P03,58669.66,2026-04-10,2026-04-10,Efectivo / Sucursal
F585798,C2839,2026-04,P02,46590.51,2026-05-10,2026-05-10,Tarjeta
F501431,C2431,2024-08,P02,30756.56,2024-09-10,2024-09-10,Débito automático
F589450,C2236,2026-05,P03,66354.9,2026-06-10,2026-06-10,Débito automático
F507879,C4670,2024-09,P05,74057.49,2024-10-10,,
F515483,C3834,2024-11,P04,57240.53,2024-12-10,2024-12-24,Débito automático
F579736,C5632,2026-02,P04,82970.44,2026-03-10,2026-03-10,Efectivo / Sucursal
F526779,C2398,2025-02,P01,23965.66,2025-03-10,2025-03-13,Mercado Pago
F528938,C4698,2025-02,P03,45822.07,2025-03-10,10/03/2025,Transferencia
F501575,C2575,2024-08,P06,95828.4,2024-09-10,2024-09-10,Mercado Pago
F591990,C5452,2026-05,P02,45303.39,2026-06-10,2026-06-10,Débito automático
F561556,C3900,2025-10,P01,27001.08,2025-11-10,2025-11-10,Mercado Pago
F588049,C5659,2026-04,P02,46092.4,2026-05-10,10/05/2026,Débito automático
F551711,C2208,2025-08,P01,28965.21,2025-09-10,2025-09-10,Débito automático
F513822,C2118,2024-11,P04,58659.14,2024-12-10,2024-12-10,Efectivo / Sucursal
F575384,C5418,2026-01,P03,60178.23,2026-02-10,,
F515885,C4249,2024-11,P05,73254.37,2024-12-10,2024-12-10,Mercado Pago
F544492,C3468,2025-06,P01,26852.08,2025-07-10,23/07/2025,Efectivo / Sucursal
F592262,C5784,2026-05,P03,64349.48,2026-06-10,2026-06-10,Tarjeta
F595925,C5252,2026-06,P02,45545.4,2026-07-10,2026-07-10,Efectivo / Sucursal
F530328,C1662,2025-03,P01,23830.74,2025-04-10,2025-04-10,Efectivo / Sucursal
F590717,C3813,2026-05,P06,144491.26,2026-06-10,2026-06-10,Mercado Pago
F520015,C4165,2024-12,P05,79434.01,2025-01-10,2025-01-10,Mercado Pago
F535906,C3150,2025-04,P01,25703.6,2025-05-10,2025-05-17,Débito automático
F564218,C2127,2025-11,P01,28108.09,2025-12-10,2025-12-18,Efectivo / Sucursal
F599396,C4450,2026-07,P06,143279.72,2026-08-10,2026-08-10,Efectivo / Sucursal
F532990,C4544,2025-03,P02,32680.77,2025-04-10,,
F508192,C4985,2024-09,P03,42721.35,2024-10-10,2024-10-10,Débito automático
F522200,C2026,2025-01,P01,23307.94,2025-02-10,2025-02-10,Tarjeta
F576396,C1587,2026-02,P02,42024.59,2026-03-10,2026-03-13,Débito automático
F522228,C2056,2025-01,P03,44918.4,2025-02-10,2025-02-10,Transferencia
F502340,C3340,2024-08,P01,22586.15,2024-09-10,15/09/2024,Efectivo / Sucursal
F515970,C4336,2024-11,P03,42979.94,2024-12-10,2024-12-10,Débito automático
F572409,C1847,2026-01,P05,108011.54,2026-02-10,2026-02-10,Débito automático
F574429,C4254,2026-01,P06,137388.97,2026-02-10,2026-02-10,Transferencia
F590579,C3630,2026-05,P02,45995.54,2026-06-10,2026-06-10,Mercado Pago
F570749,C4874,2025-12,P02,41401.25,2026-01-10,,
F543223,C2049,2025-06,P02,34926.36,2025-07-10,2025-07-10,Mercado Pago
F571756,C1095,2026-01,P03,61430.84,2026-02-10,2026-02-24,Débito automático
F549541,C4494,2025-07,P02,35719.89,2025-08-10,2025-08-10,Débito automático
F505429,C2197,2024-09,P01,21724.79,2024-10-10,,
F554714,C5641,2025-08,P02,37612.98,2025-09-10,2025-09-10,Débito automático
F555011,C1207,2025-09,P05,96895.28,2025-10-10,2025-10-10,Tarjeta
F515938,C4303,2024-11,P02,30326.38,2024-12-10,2024-12-16,Débito automático
F536357,C3647,2025-04,P01,25935.03,2025-05-10,2025-05-10,Débito automático
F578513,C4135,2026-02,P02,41753.04,2026-03-10,2026-03-10,Mercado Pago
F538834,C1786,2025-05,P01,26384.74,2025-06-10,2025-06-10,Débito automático
F571816,C1163,2026-01,P02,43103.89,2026-02-10,2026-02-10,Mercado Pago
F574142,C3912,2026-01,P02,42401.78,2026-02-10,,
F584927,C1779,2026-04,P03,62831.69,2026-05-10,2026-05-10,Efectivo / Sucursal
F540472,C3598,2025-05,P03,49724.52,2025-06-10,2025-06-10,Débito automático
F572195,C1595,2026-01,P06,134280.3,2026-02-10,,
F532491,C4009,2025-03,P05,80518.18,2025-04-10,2025-04-10,Débito automático
F545439,C4548,2025-06,P03,48534.47,2025-07-10,2025-08-04,Débito automático
F561960,C4371,2025-10,P01,28566.4,2025-11-10,2025-11-10,Débito automático
F536451,C3754,2025-04,P03,50585.31,2025-05-10,2025-05-10,Transferencia
F516809,C5195,2024-11,P05,75276.64,2024-12-10,,
F512266,C4846,2024-10,P03,42108.54,2024-11-10,2024-11-10,Transferencia
F585579,C2575,2026-04,P06,145161.01,2026-05-10,2026-05-10,Efectivo / Sucursal
F589660,C2497,2026-05,P01,34588.0,2026-06-10,2026-06-15,Débito automático
F559125,C1107,2025-10,P02,39207.67,2025-11-10,,
F513615,C1901,2024-11,P02,30405.2,2024-12-10,10/12/2024,Efectivo / Sucursal
F542050,C5384,2025-05,P03,48494.34,2025-06-10,2025-06-10,Débito automático
F520739,C4910,2024-12,P04,60471.41,2025-01-10,2025-01-10,Débito automático
F582342,C3701,2026-03,P03,58404.14,2026-04-10,2026-04-10,Mercado Pago
F508701,C1215,2024-10,P06,95198.86,2024-11-10,2024-11-10,Débito automático
F500950,C1950,2024-08,P04,57480.01,2024-09-10,2024-09-10,Transferencia
F519210,C3315,2024-12,P03,45939.29,2025-01-10,15/01/2025,Mercado Pago
F529561,C5359,2025-02,P02,33078.75,2025-03-10,,
F510591,C3139,2024-10,P02,30397.08,2024-11-10,2024-11-10,Mercado Pago
F534738,C1874,2025-04,P03,49779.44,2025-05-10,2025-05-10,Transferencia
F508170,C4962,2024-09,P04,57532.56,2024-10-10,2024-10-10,Tarjeta
F562881,C5460,2025-10,P05,99184.4,2025-11-10,2025-11-10,Débito automático
F541959,C5279,2025-05,P06,118142.8,2025-06-10,2025-06-10,Efectivo / Sucursal
F541925,C5238,2025-05,P02,36310.2,2025-06-10,2025-06-19,Transferencia
F572717,C2222,2026-01,P02,42278.06,2026-02-10,2026-02-10,Débito automático
F512801,C1065,2024-11,P02,29841.12,2024-12-10,,
F553124,C3811,2025-08,P01,28434.8,2025-09-10,2025-09-15,Transferencia
F599029,C3977,2026-07,P02,44965.0,2026-08-10,2026-08-10,Transferencia
F516518,C4893,2024-11,P03,41370.91,2024-12-10,2024-12-11,Débito automático
F512805,C1069,2024-11,P06,94773.22,2024-12-10,2024-12-10,Efectivo / Sucursal
F595531,C4742,2026-06,P03,64223.91,2026-07-10,2026-07-10,Tarjeta
F505271,C2035,2024-09,P06,96371.39,2024-10-10,2024-10-10,Tarjeta
F533879,C5493,2025-03,P02,33620.1,2025-04-10,2025-04-10,Transferencia
F571116,C5322,2025-12,P01,31582.6,2026-01-10,10/01/2026,Transferencia
F584251,C6012,2026-03,P06,133613.28,2026-04-10,,
F504073,C5073,2024-08,P03,43300.36,2024-09-10,,
F562227,C4690,2025-10,P01,27951.13,2025-11-10,2025-11-10,Débito automático
F506302,C3073,2024-09,P03,42394.24,2024-10-10,2024-10-10,Débito automático
F502955,C3955,2024-08,P03,41738.16,2024-09-10,2024-09-12,Mercado Pago
F575734,C5809,2026-01,P03,60123.8,2026-02-10,2026-02-10,Efectivo / Sucursal
F561534,C3870,2025-10,P02,39794.25,2025-11-10,2025-11-10,Débito automático
F589657,C2494,2026-05,P06,144575.35,2026-06-10,2026-06-10,Transferencia
F551563,C2037,2025-08,P02,38658.85,2025-09-10,2025-09-10,Débito automático
F529849,C1149,2025-03,P02,32235.03,2025-04-10,2025-04-10,Mercado Pago
F526465,C2063,2025-02,P01,23713.73,2025-03-10,2025-03-10,Débito automático
F573800,C3498,2026-01,P03,59570.14,2026-02-10,2026-02-10,Débito automático
F542039,C5372,2025-05,P01,26430.53,2025-06-10,2025-06-10,Tarjeta
F565091,C3137,2025-11,P02,39014.31,2025-12-10,2025-12-10,Efectivo / Sucursal
F600410,C5768,2026-07,P04,90816.62,2026-08-10,2026-08-10,Tarjeta
F534392,C1500,2025-04,P06,112139.89,2025-05-10,2025-05-16,Mercado Pago
F595487,C4690,2026-06,P01,35171.51,2026-07-10,,
F577982,C3493,2026-02,P06,131960.72,2026-03-10,10/03/2026,Transferencia
F559860,C1937,2025-10,P04,76105.4,2025-11-10,11/11/2025,Débito automático
F572126,C1518,2026-01,P05,107661.43,2026-02-10,10/02/2026,Débito automático
F574288,C4088,2026-01,P01,29992.61,2026-02-10,2026-02-10,Transferencia
F504511,C1269,2024-09,P02,30650.56,2024-10-10,2024-10-10,Mercado Pago
F528954,C4715,2025-02,P01,23211.23,2025-03-10,,
F544462,C3429,2025-06,P03,51578.17,2025-07-10,2025-07-10,Transferencia
F576859,C2142,2026-02,P03,58940.13,2026-03-10,10/03/2026,Transferencia
F552738,C3364,2025-08,P01,28754.58,2025-09-10,2025-09-29,Mercado Pago
F537225,C4618,2025-04,P01,25702.1,2025-05-10,2025-05-10,Débito automático
F577076,C2408,2026-02,P06,138475.4,2026-03-10,10/03/2026,Transferencia
F508777,C1291,2024-10,P02,30127.37,2024-11-10,15/11/2024,Débito automático
F596246,C5663,2026-06,P06,147992.62,2026-07-10,,
F567762,C1367,2025-12,P01,30468.94,2026-01-10,2026-01-10,Transferencia
F595841,C5142,2026-06,P01,34081.05,2026-07-10,2026-07-10,Mercado Pago
F541203,C4436,2025-05,P02,36320.68,2025-06-10,2025-06-10,Tarjeta
F542189,C5533,2025-05,P02,34821.82,2025-06-10,2025-06-10,Tarjeta
F527490,C3149,2025-02,P02,33159.88,2025-03-10,22/03/2025,Mercado Pago
F575787,C5863,2026-01,P03,61074.23,2026-02-10,2026-02-10,Mercado Pago
F519019,C3117,2024-12,P05,77198.41,2025-01-10,2025-01-15,Débito automático
F543714,C2594,2025-06,P04,68300.92,2025-07-10,2025-07-14,Mercado Pago
F507252,C4037,2024-09,P01,22300.89,2024-10-10,21/10/2024,Transferencia
F565272,C3351,2025-11,P03,54625.56,2025-12-10,,
F503417,C4417,2024-08,P02,30182.08,2024-09-10,2024-09-12,Mercado Pago
F567206,C5639,2025-11,P03,53612.37,2025-12-10,2025-12-10,Débito automático
F584014,C5762,2026-03,P03,60353.68,2026-04-10,2026-04-10,Transferencia
F581029,C2112,2026-03,P03,60112.42,2026-04-10,2026-04-20,Débito automático
F533919,C5533,2025-03,P02,32955.86,2025-04-10,,
F532463,C3980,2025-03,P02,32874.25,2025-04-10,2025-04-14,Transferencia
F531611,C3043,2025-03,P06,99946.59,2025-04-10,2025-04-10,Débito automático
F503916,C4916,2024-08,P01,21812.73,2024-09-10,2024-09-14,Tarjeta
F532774,C4310,2025-03,P04,65855.45,2025-04-10,2025-04-16,Efectivo / Sucursal
F526819,C2438,2025-02,P03,43813.34,2025-03-10,2025-03-10,Transferencia
F557660,C4239,2025-09,P03,53504.83,2025-10-10,,
F525662,C1205,2025-02,P02,32587.54,2025-03-10,2025-03-25,Débito automático
F521514,C1306,2025-01,P02,31991.86,2025-02-10,2025-02-15,Débito automático
F544805,C3823,2025-06,P06,110686.58,2025-07-10,2025-07-10,Transferencia
F572786,C2308,2026-01,P03,58727.62,2026-02-10,10/02/2026,Mercado Pago
F536073,C3333,2025-04,P04,67331.55,2025-05-10,2025-05-10,Tarjeta
F551750,C2253,2025-08,P02,39826.79,2025-09-10,2025-09-15,Débito automático
F536589,C3918,2025-04,P02,35341.01,2025-05-10,2025-05-13,Débito automático
F586952,C4276,2026-04,P01,35671.21,2026-05-10,2026-05-10,Mercado Pago
F528488,C4222,2025-02,P05,83248.0,2025-03-10,2025-03-10,Débito automático
F554007,C4834,2025-08,P02,39628.65,2025-09-10,10/09/2025,Débito automático
F543181,C2000,2025-06,P06,112923.71,2025-07-10,,
F551936,C2464,2025-08,P03,53654.46,2025-09-10,10/09/2025,Débito automático
F576724,C1977,2026-02,P02,43367.05,2026-03-10,10/03/2026,Débito automático
F588439,C6078,2026-04,P01,33937.57,2026-05-10,2026-05-10,Efectivo / Sucursal
F597628,C2167,2026-07,P02,45466.37,2026-08-10,2026-08-10,Débito automático
F545921,C5086,2025-06,P01,26609.49,2025-07-10,2025-07-10,Débito automático
F534299,C1400,2025-04,P01,25709.55,2025-05-10,2025-05-15,Débito automático
F538252,C1151,2025-05,P02,35526.75,2025-06-10,10/06/2025,Efectivo / Sucursal
F518049,C2111,2024-12,P02,32644.89,2025-01-10,2025-01-10,Efectivo / Sucursal
F548238,C2999,2025-07,P02,35587.22,2025-08-10,22/08/2025,Mercado Pago
F533606,C5204,2025-03,P06,103948.35,2025-04-10,2025-04-10,Débito automático
F522530,C2377,2025-01,P03,45453.61,2025-02-10,2025-02-10,Débito automático
F514186,C2495,2024-11,P01,21503.84,2024-12-10,2024-12-10,Tarjeta
F568888,C2666,2025-12,P02,42883.17,2026-01-10,2026-01-10,Transferencia
F523074,C2942,2025-01,P02,33750.68,2025-02-10,2025-02-10,Débito automático
F568717,C2480,2025-12,P02,43243.55,2026-01-10,2026-01-18,Efectivo / Sucursal
F595670,C4914,2026-06,P06,147518.59,2026-07-10,15/07/2026,Débito automático
F506319,C3090,2024-09,P04,57015.14,2024-10-10,2024-10-10,Mercado Pago
F572765,C2279,2026-01,P04,79476.51,2026-02-10,2026-02-17,Débito automático
F531565,C2993,2025-03,P01,24337.49,2025-04-10,2025-04-10,Transferencia
F542442,C1187,2025-06,P05,87872.27,2025-07-10,2025-07-10,Tarjeta
F577669,C3108,2026-02,P04,82185.53,2026-03-10,2026-03-10,Mercado Pago
F549793,C4779,2025-07,P02,35744.14,2025-08-10,2025-08-10,Mercado Pago
F593941,C2690,2026-06,P02,46204.86,2026-07-10,2026-07-10,Débito automático
F567370,C5811,2025-11,P03,51150.93,2025-12-10,10/12/2025,Tarjeta
F512558,C5143,2024-10,P03,41098.95,2024-11-10,2024-11-10,Débito automático
F559957,C2050,2025-10,P02,38823.54,2025-11-10,2025-11-10,Débito automático
F553794,C4595,2025-08,P02,39012.16,2025-09-10,2025-09-10,Transferencia
F507876,C4667,2024-09,P03,43777.17,2024-10-10,,
F551221,C1654,2025-08,P06,122791.18,2025-09-10,2025-09-10,Transferencia
F513236,C1513,2024-11,P02,29890.94,2024-12-10,2024-12-27,Tarjeta
F529246,C5029,2025-02,P04,62277.57,2025-03-10,10/03/2025,Transferencia
F562459,C4949,2025-10,P03,53756.15,2025-11-10,2025-11-16,Mercado Pago
F516223,C4595,2024-11,P02,30415.83,2024-12-10,2024-12-10,Mercado Pago
F529285,C5071,2025-02,P03,45961.22,2025-03-10,2025-03-10,Débito automático
F553909,C4726,2025-08,P01,28689.71,2025-09-10,2025-09-10,Débito automático
F585615,C2615,2026-04,P01,34793.08,2026-05-10,2026-05-10,Débito automático
F555323,C1554,2025-09,P01,29153.21,2025-10-10,2025-10-10,Mercado Pago
F543054,C1857,2025-06,P06,112736.14,2025-07-10,2025-07-19,Mercado Pago
F545401,C4501,2025-06,P05,91209.07,2025-07-10,10/07/2025,Transferencia
F560421,C2583,2025-10,P02,40538.56,2025-11-10,2025-11-10,Transferencia
F509695,C2230,2024-10,P05,76985.8,2024-11-10,,
