id_ticket,id_cliente,fecha_apertura,fecha_cierre,categoria,canal,prioridad,satisfaccion
T908732,C2496,2025-02-18 18:00:00,2025-02-20 01:55:22,Cambio de plan,Telefónico,Media,3.0
T924644,C3287,2026-02-13 09:00:00,2026-02-15 21:06:49,Sin conexión,Portal web,Baja,3.0
T902241,C5088,2024-09-03 15:00:00,2024-09-04 14:20:36,Instalación,Portal web,Baja,5.0
T902130,C4733,2024-09-21 10:00:00,2024-09-22 04:08:56,Sin conexión,Telefónico,Media,4.0
T911505,C2228,2025-04-03 19:00:00,2025-04-04 09:48:05,Conexión lenta / intermitencia,Portal web,Media,5.0
T927504,C4573,2026-04-28 08:00:00,2026-05-01 04:31:42,Corte programado,Telefónico,Media,3.0
T911948,C4065,2025-04-09 08:00:00,2025-04-14 05:12:36,Conexión lenta / intermitencia,WhatsApp,Baja,
T917677,C4544,2025-09-13 20:00:00,2025-09-18 14:48:49,Consulta comercial,Telefónico,Baja,
T911029,C4938,2025-03-01 18:00:00,2025-03-02 02:19:54,Sin conexión,Portal web,Alta,5.0
T906073,C4587,2024-12-18 12:00:00,2024-12-18 17:43:09,Conexión lenta / intermitencia,Portal web,Alta,
T901091,C5069,2024-08-17 15:00:00,2024-08-19 02:07:10,Conexión lenta / intermitencia,Sucursal,Baja,3.0
T901531,C2438,2024-09-09 12:00:00,2024-09-12 01:51:33,Corte programado,Telefónico,Baja,3.0
T904171,C3607,2024-11-20 17:00:00,2024-11-20 22:45:37,WiFi / equipos,Telefónico,Alta,5.0
T902684,C2535,2024-10-14 11:00:00,2024-10-15 05:35:44,Conexión lenta / intermitencia,Sucursal,Media,5.0
T920870,C2668,2025-12-26 12:00:00,2025-12-27 04:52:27,Consulta comercial,Telefónico,Alta,4.0
T916093,C2823,2025-08-17 18:00:00,2025-08-17 23:21:52,Consulta comercial,Telefónico,Alta,4.0
T901256,C1449,2024-09-23 17:00:00,2024-09-24 02:50:50,Sin conexión,WhatsApp,Media,5.0
T901332,C1687,2024-09-01 15:00:00,2024-09-02 01:28:46,Consulta comercial,Portal web,Media,
T907823,C4490,2025-01-17 15:00:00,2025-01-18 16:38:05,WiFi / equipos,Telefónico,Media,4.0
T903589,C1607,2024-11-19 13:00:00,2024-11-20 12:30:58,Sin conexión,Email,Baja,
T915123,C3295,2025-07-12 10:00:00,2025-07-12 20:58:20,Instalación,Telefónico,Media,5.0
T920387,C1321,2025-12-08 08:00:00,2025-12-08 12:51:49,WiFi / equipos,Telefónico,Alta,
T910580,C3294,2025-03-29 15:00:00,2025-03-30 09:29:03,WiFi / equipos,Telefónico,Alta,3.0
T928556,C4210,2026-05-02 13:00:00,2026-05-07 04:02:59,Instalación,Telefónico,Baja,
T927845,C1091,2026-05-01 14:00:00,2026-05-02 04:16:27,Facturación,Telefónico,Media,
T920142,C5381,2025-11-18 18:00:00,2025-11-19 14:40:12,Facturación,Sucursal,Baja,
T921787,C5358,2025-12-24 14:00:00,2025-12-30 17:45:55,Conexión lenta / intermitencia,Telefónico,Baja,1.0
T904975,C1908,2024-12-20 08:00:00,2024-12-21 20:40:39,Facturación,Sucursal,Media,4.0
T914355,C4858,2025-06-10 09:00:00,2025-06-11 10:03:39,Facturación,Telefónico,Media,
T906435,C1008,2025-01-25 12:00:00,2025-01-27 20:58:05,Cambio de plan,Sucursal,Baja,
T913083,C4245,2025-05-07 12:00:00,2025-05-08 00:25:52,WiFi / equipos,Telefónico,Alta,5.0
T916188,C3178,2025-08-30 08:00:00,2025-09-01 16:48:27,Conexión lenta / intermitencia,Telefónico,Media,2.0
T921267,C3846,2025-12-09 19:00:00,2025-12-10 18:43:13,WiFi / equipos,Telefónico,Media,4.0
T913875,C2866,2025-06-07 08:00:00,2025-06-07 14:15:43,Sin conexión,WhatsApp,Alta,
T907114,C2627,2025-01-31 17:00:00,2025-02-01 03:39:21,Corte programado,Sucursal,Media,
T910981,C4777,2025-03-02 09:00:00,2025-03-03 07:20:34,Conexión lenta / intermitencia,Telefónico,Baja,
T922634,C2692,2026-01-11 10:00:00,2026-01-11 19:58:51,Conexión lenta / intermitencia,Sucursal,Media,5.0
T904406,C4612,2024-11-25 09:00:00,2024-11-27 00:51:35,WiFi / equipos,Telefónico,Baja,3.0
T905071,C2160,2024-12-20 17:00:00,2024-12-21 06:20:28,WiFi / equipos,WhatsApp,Alta,
T918832,C4480,2025-10-10 18:00:00,2025-10-16 13:56:51,Cambio de plan,WhatsApp,Baja,
T931111,C5690,2026-07-26 16:00:00,2026-07-26 21:05:04,Conexión lenta / intermitencia,Sucursal,Alta,
T913615,C1869,2025-06-26 17:00:00,2025-06-26 21:18:49,Instalación,Sucursal,Alta,
T902232,C5058,2024-09-28 09:00:00,2024-09-28 15:52:40,Cambio de plan,Telefónico,Media,
T912728,C2689,2025-05-08 16:00:00,2025-05-09 17:02:47,Facturación,WhatsApp,Baja,4.0
T919356,C1963,2025-11-12 15:00:00,2025-11-13 12:00:32,WiFi / equipos,Portal web,Media,
T916943,C1632,2025-09-19 10:00:00,2025-09-20 05:59:48,Sin conexión,Portal web,Media,4.0
T915163,C3486,2025-07-14 09:00:00,2025-07-15 14:06:39,Consulta comercial,Sucursal,Baja,
T917705,C4673,2025-09-06 20:00:00,2025-09-06 22:34:04,Sin conexión,Telefónico,Alta,
T904990,C1933,2024-12-20 11:00:00,2024-12-23 12:04:42,Facturación,Telefónico,Baja,2.0
T928164,C2477,2026-05-25 10:00:00,2026-05-27 13:10:23,Conexión lenta / intermitencia,Telefónico,Baja,
T928541,C4166,2026-05-05 13:00:00,2026-05-05 16:58:21,Conexión lenta / intermitencia,Telefónico,Alta,
T929649,C4100,2026-06-23 20:00:00,2026-06-25 10:31:18,Conexión lenta / intermitencia,Telefónico,Baja,4.0
T916762,C5724,2025-08-15 18:00:00,2025-08-16 21:21:21,Instalación,Portal web,Media,
T918354,C2552,2025-10-29 11:00:00,2025-10-29 15:35:43,Sin conexión,Sucursal,Alta,5.0
T905938,C4207,2024-12-14 11:00:00,2024-12-15 23:26:28,Facturación,WhatsApp,Baja,3.0
T911831,C3561,2025-04-21 11:00:00,2025-04-24 15:52:56,Cambio de plan,Portal web,Baja,3.0
T907396,C3335,2025-01-25 16:00:00,2025-01-28 20:48:00,Facturación,Email,Media,2.0
T907786,C4386,2025-01-19 16:00:00,2025-01-20 21:19:56,Sin conexión,Portal web,Media,
T914000,C3372,2025-06-03 16:00:00,2025-06-04 08:14:45,Conexión lenta / intermitencia,Telefónico,Media,4.0
T910740,C3902,2025-03-09 08:00:00,2025-03-10 13:47:09,Facturación,WhatsApp,Baja,5.0
T928919,C5854,2026-05-20 14:00:00,2026-05-20 17:17:44,Sin conexión,Email,Alta,
T930269,C1743,2026-07-12 11:00:00,,Sin conexión,Telefónico,Media,
T905161,C2387,2024-12-28 09:00:00,2024-12-29 07:55:06,Instalación,Telefónico,Media,
T908280,C1238,2025-02-14 16:00:00,2025-02-16 12:39:55,Conexión lenta / intermitencia,Sucursal,Media,3.0
T901110,C5148,2024-08-16 16:00:00,2024-08-17 08:37:37,Conexión lenta / intermitencia,WhatsApp,Media,
T909792,C5088,2025-02-05 11:00:00,2025-02-07 19:04:28,Conexión lenta / intermitencia,Sucursal,Media,4.0
T917835,C5237,2025-09-09 14:00:00,2025-09-10 14:51:19,WiFi / equipos,Portal web,Baja,4.0
T901993,C4217,2024-09-29 10:00:00,2024-09-30 19:39:41,Corte programado,Email,Baja,
T903923,C2791,2024-11-10 13:00:00,2024-11-11 21:43:39,Conexión lenta / intermitencia,WhatsApp,Media,3.0
T928574,C4306,2026-05-30 13:00:00,2026-05-31 13:23:39,Instalación,Telefónico,Media,
T901913,C3932,2024-09-21 19:00:00,2024-09-23 12:10:17,Conexión lenta / intermitencia,Portal web,Baja,
T906225,C4925,2024-12-17 16:00:00,2024-12-17 23:40:29,Conexión lenta / intermitencia,Telefónico,Alta,
T923775,C5913,2026-01-17 12:00:00,2026-01-19 00:05:44,Facturación,Telefónico,Media,2.0
T918399,C2733,2025-10-10 08:00:00,2025-10-10 23:36:43,Sin conexión,Sucursal,Baja,4.0
T904161,C3558,2024-11-02 17:00:00,2024-11-12 20:46:05,Facturación,Sucursal,Baja,1.0
T912415,C1475,2025-05-21 18:00:00,2025-05-22 08:42:25,Sin conexión,Telefónico,Alta,
T903939,C2844,2024-11-15 12:00:00,2024-11-16 11:42:49,Facturación,Portal web,Media,5.0
T926034,C3181,2026-03-07 16:00:00,2026-03-09 17:43:11,WiFi / equipos,WhatsApp,Media,
T915096,C3161,2025-07-16 11:00:00,2025-07-17 20:33:47,Facturación,Email,Media,3.0
T908157,C5334,2025-01-05 12:00:00,2025-01-06 01:39:01,WiFi / equipos,Telefónico,Media,5.0
T927040,C2504,2026-04-13 15:00:00,2026-04-13 21:33:00,Facturación,Portal web,Media,5.0
T917251,C2837,2025-09-26 19:00:00,2025-09-27 22:41:29,Sin conexión,Portal web,Media,
T925402,C5598,2026-02-19 08:00:00,2026-02-22 08:42:28,Conexión lenta / intermitencia,Telefónico,Baja,3.0
T914861,C2226,2025-07-10 15:00:00,2025-07-18 23:21:59,Conexión lenta / intermitencia,Telefónico,Baja,
T919816,C3916,2025-11-09 16:00:00,2025-11-10 13:22:41,Conexión lenta / intermitencia,Telefónico,Media,5.0
T926308,C4412,2026-03-29 09:00:00,2026-03-29 13:45:57,Sin conexión,Telefónico,Alta,4.0
T925574,C1034,2026-03-06 19:00:00,2026-03-10 19:04:19,Conexión lenta / intermitencia,WhatsApp,Baja,
T918852,C4560,2025-10-21 17:00:00,2025-10-22 09:31:34,Facturación,Portal web,Media,4.0
T904570,C5212,2024-11-05 19:00:00,2024-11-06 02:18:55,Consulta comercial,Portal web,Media,
T926850,C1668,2026-04-13 14:00:00,2026-04-14 18:43:59,Cambio de plan,Email,Media,
T919423,C2238,2025-11-23 12:00:00,2025-11-24 10:14:56,Facturación,Telefónico,Baja,
T906936,C2220,2025-01-05 13:00:00,2025-01-06 02:20:59,WiFi / equipos,WhatsApp,Alta,
T927956,C1475,2026-05-03 11:00:00,2026-05-06 23:59:25,Cambio de plan,WhatsApp,Baja,
T926143,C3616,2026-03-04 11:00:00,2026-03-05 23:39:03,Sin conexión,Portal web,Baja,3.0
T927802,C5951,2026-04-16 15:00:00,2026-04-18 08:15:41,Corte programado,Telefónico,Media,
T909873,C5276,2025-02-11 11:00:00,2025-02-12 06:12:06,Conexión lenta / intermitencia,Portal web,Media,3.0
T918586,C3496,2025-10-01 10:00:00,2025-10-02 09:26:39,Conexión lenta / intermitencia,Portal web,Media,
T913341,C5394,2025-05-04 14:00:00,2025-05-05 03:09:14,Sin conexión,Telefónico,Media,
T922534,C2391,2026-01-20 11:00:00,2026-01-21 20:01:14,Consulta comercial,WhatsApp,Media,4.0
T916842,C1233,2025-09-01 13:00:00,2025-09-04 10:47:22,Sin conexión,Telefónico,Baja,
T927631,C5166,2026-04-05 17:00:00,2026-04-05 20:45:18,Sin conexión,Telefónico,Alta,5.0
T916585,C4902,2025-08-22 18:00:00,2025-08-23 09:10:53,Consulta comercial,Telefónico,Media,
T920835,C2608,2025-12-12 20:00:00,2025-12-15 10:44:59,Consulta comercial,Telefónico,Baja,2.0
T928080,C2070,2026-05-14 19:00:00,2026-05-16 02:18:11,Sin conexión,WhatsApp,Media,4.0
T900346,C2185,2024-08-03 13:00:00,2024-08-04 03:08:02,Facturación,WhatsApp,Media,5.0
T930805,C4213,2026-07-18 08:00:00,2026-07-18 22:15:50,Conexión lenta / intermitencia,Sucursal,Media,
T925428,C5675,2026-02-15 09:00:00,2026-02-25 02:15:55,Consulta comercial,WhatsApp,Baja,2.0
T916812,C1134,2025-09-20 10:00:00,2025-09-22 17:56:30,Instalación,WhatsApp,Baja,3.0
T911678,C2926,2025-04-05 15:00:00,2025-04-06 21:03:11,Conexión lenta / intermitencia,Telefónico,Media,
T924388,C2581,2026-02-18 09:00:00,2026-02-19 01:11:51,Sin conexión,Sucursal,Alta,4.0
T918902,C4781,2025-10-03 17:00:00,2025-10-03 18:41:23,Instalación,Portal web,Alta,
T904982,C1914,2024-12-05 15:00:00,2024-12-06 09:15:24,Consulta comercial,Telefónico,Media,5.0
T917449,C3562,2025-09-08 09:00:00,2025-09-08 16:15:15,Facturación,Telefónico,Media,
T914887,C2325,2025-07-03 19:00:00,2025-07-04 08:16:18,Sin conexión,Portal web,Alta,
T908893,C2839,2025-02-22 09:00:00,2025-02-22 11:32:02,Sin conexión,Telefónico,Alta,
T901924,C3972,2024-09-02 08:00:00,2024-09-02 20:32:29,Conexión lenta / intermitencia,Email,Baja,3.0
T930886,C4656,2026-07-27 13:00:00,2026-07-27 22:23:33,Conexión lenta / intermitencia,WhatsApp,Media,
T928809,C5384,2026-05-10 18:00:00,2026-05-11 23:28:15,Corte programado,Email,Baja,5.0
T900822,C3985,2024-08-02 13:00:00,2024-08-02 19:17:27,Instalación,Portal web,Media,5.0
T920462,C1508,2025-12-06 15:00:00,2025-12-07 11:46:03,Corte programado,Sucursal,Baja,4.0
T924344,C2452,2026-02-27 16:00:00,2026-02-28 15:43:01,Sin conexión,Telefónico,Media,5.0
T930843,C4427,2026-07-04 10:00:00,2026-07-04 18:45:53,Sin conexión,WhatsApp,Baja,5.0
T929486,C3319,2026-06-20 14:00:00,2026-06-20 22:09:59,WiFi / equipos,Telefónico,Media,4.0
T926668,C5966,2026-03-14 08:00:00,2026-03-15 07:36:24,Conexión lenta / intermitencia,Telefónico,Media,5.0
T904739,C1351,2024-12-24 15:00:00,2024-12-26 03:11:44,Sin conexión,Email,Baja,5.0
T922342,C1896,2026-01-27 19:00:00,2026-01-29 11:08:04,WiFi / equipos,Telefónico,Media,2.0
T910206,C1901,2025-03-28 18:00:00,2025-03-30 12:50:38,Instalación,Telefónico,Baja,
T903736,C2147,2024-11-06 12:00:00,2024-11-06 22:30:03,Sin conexión,WhatsApp,Media,
T916140,C3031,2025-08-30 10:00:00,2025-08-31 23:00:05,Consulta comercial,Portal web,Baja,
T910884,C4392,2025-03-01 12:00:00,2025-03-02 20:50:49,Cambio de plan,Telefónico,Baja,4.0
T916805,C1124,2025-09-30 18:00:00,2025-10-01 04:05:13,Cambio de plan,Telefónico,Media,
T900929,C4387,2024-08-21 08:00:00,2024-08-23 03:06:11,Conexión lenta / intermitencia,WhatsApp,Media,
T912620,C2297,2025-05-05 08:00:00,2025-05-05 17:17:34,Consulta comercial,WhatsApp,Media,
T917126,C2373,2025-09-02 11:00:00,2025-09-08 06:30:23,Facturación,Telefónico,Baja,
T909812,C5115,2025-02-12 15:00:00,2025-02-14 22:45:16,Conexión lenta / intermitencia,Telefónico,Media,
T921220,C3730,2025-12-07 10:00:00,2025-12-08 18:41:06,Cambio de plan,Portal web,Baja,
T916596,C4935,2025-08-01 18:00:00,2025-08-03 05:15:41,Corte programado,Telefónico,Media,
T918358,C2571,2025-10-02 18:00:00,2025-10-03 03:38:10,Facturación,Portal web,Baja,
T919077,C5481,2025-10-25 12:00:00,2025-10-25 19:08:45,Conexión lenta / intermitencia,Telefónico,Alta,5.0
T915790,C1488,2025-08-23 13:00:00,2025-08-24 05:25:44,Facturación,Telefónico,Media,
T930668,C3582,2026-07-19 08:00:00,2026-07-19 10:43:40,Sin conexión,Sucursal,Alta,
T923767,C5891,2026-01-19 13:00:00,2026-01-20 15:35:48,Consulta comercial,WhatsApp,Media,3.0
T919451,C2347,2025-11-17 18:00:00,2025-11-20 05:04:59,Conexión lenta / intermitencia,Portal web,Media,
T900492,C2718,2024-08-06 16:00:00,2024-08-14 14:25:25,Facturación,Telefónico,Baja,
T902142,C4762,2024-09-07 13:00:00,2024-09-08 09:54:25,WiFi / equipos,Telefónico,Media,2.0
T921514,C4555,2025-12-13 08:00:00,2025-12-14 15:01:59,Sin conexión,Sucursal,Alta,
T910476,C2923,2025-03-20 19:00:00,2025-03-20 22:15:37,Facturación,Portal web,Alta,5.0
T930277,C1763,2026-07-25 19:00:00,,WiFi / equipos,Telefónico,Baja,
T907918,C4693,2025-01-14 14:00:00,2025-01-18 07:54:44,Sin conexión,Telefónico,Media,
T915672,C5683,2025-07-04 17:00:00,2025-07-05 19:19:11,Sin conexión,Telefónico,Baja,3.0
T907822,C4488,2025-01-14 16:00:00,2025-01-14 21:57:42,WiFi / equipos,Telefónico,Alta,5.0
T923402,C4853,2026-01-14 17:00:00,2026-01-15 20:28:56,Sin conexión,Portal web,Media,
T908030,C5018,2025-01-11 09:00:00,2025-01-13 22:13:39,Sin conexión,WhatsApp,Baja,4.0
T931026,C5334,2026-07-15 20:00:00,,Instalación,Sucursal,Media,
T912089,C4646,2025-04-15 16:00:00,2025-04-17 13:20:25,Conexión lenta / intermitencia,Telefónico,Media,
T913755,C2410,2025-06-25 17:00:00,2025-06-26 23:55:11,Sin conexión,WhatsApp,Baja,
T911193,C1001,2025-04-30 18:00:00,2025-05-02 04:56:02,WiFi / equipos,WhatsApp,Media,4.0
T914661,C1404,2025-07-14 11:00:00,2025-07-15 18:17:56,Facturación,Telefónico,Media,4.0
T928485,C3888,2026-05-25 16:00:00,2026-05-26 19:37:27,Sin conexión,Telefónico,Media,4.0
T930224,C1454,2026-07-11 16:00:00,2026-07-12 05:19:59,Conexión lenta / intermitencia,WhatsApp,Baja,
T910899,C4475,2025-03-03 10:00:00,2025-03-06 08:38:08,Conexión lenta / intermitencia,WhatsApp,Baja,
T905285,C2639,2024-12-09 18:00:00,2024-12-10 09:26:23,Conexión lenta / intermitencia,Telefónico,Media,
T928104,C2162,2026-05-22 13:00:00,2026-05-23 15:07:26,WiFi / equipos,Sucursal,Media,
T923893,C1215,2026-02-23 12:00:00,2026-02-27 03:50:39,Corte programado,Email,Baja,2.0
T924921,C4148,2026-02-15 13:00:00,2026-02-16 10:12:03,Cambio de plan,Portal web,Media,5.0
T921155,C3531,2025-12-14 10:00:00,2025-12-18 06:44:59,Conexión lenta / intermitencia,Telefónico,Baja,1.0
T902332,C1183,2024-10-17 14:00:00,2024-10-19 04:54:31,Conexión lenta / intermitencia,Telefónico,Media,
T905380,C2845,2024-12-15 16:00:00,2024-12-15 21:37:07,Conexión lenta / intermitencia,Portal web,Alta,4.0
T902650,C2392,2024-10-20 11:00:00,2024-10-21 18:07:10,Cambio de plan,WhatsApp,Baja,4.0
T930813,C4273,2026-07-09 20:00:00,2026-07-11 12:50:52,Sin conexión,Telefónico,Media,4.0
T930738,C3871,2026-07-28 12:00:00,2026-07-29 17:14:49,Conexión lenta / intermitencia,Email,Media,
T924008,C1532,2026-02-08 16:00:00,2026-02-09 04:36:14,Instalación,Sucursal,Media,
T906843,C1999,2025-01-10 14:00:00,2025-01-17 12:35:41,Facturación,WhatsApp,Media,3.0
T904207,C3779,2024-11-04 19:00:00,2024-11-07 13:00:13,Conexión lenta / intermitencia,Portal web,Baja,
T905655,C3505,2024-12-27 16:00:00,2024-12-28 04:15:29,Sin conexión,Telefónico,Media,
T926080,C3399,2026-03-30 15:00:00,2026-03-31 23:30:45,Conexión lenta / intermitencia,Email,Baja,
T918938,C4972,2025-10-01 19:00:00,2025-10-04 06:31:07,Facturación,WhatsApp,Baja,4.0
T916896,C1454,2025-09-29 12:00:00,2025-09-29 13:16:45,WiFi / equipos,WhatsApp,Alta,5.0
T917136,C2415,2025-09-29 11:00:00,2025-09-29 16:55:27,Facturación,Sucursal,Alta,4.0
T903519,C1361,2024-11-22 16:00:00,2024-11-22 19:31:17,WiFi / equipos,Sucursal,Alta,
T920374,C1289,2025-12-29 17:00:00,2026-01-01 02:52:12,Sin conexión,WhatsApp,Media,4.0
T908841,C2739,2025-02-28 15:00:00,2025-03-03 18:33:07,Conexión lenta / intermitencia,Telefónico,Baja,2.0
T906822,C1954,2025-01-07 10:00:00,2025-01-09 04:44:12,Cambio de plan,WhatsApp,Media,4.0
T931017,C5301,2026-07-18 20:00:00,,Conexión lenta / intermitencia,Telefónico,Media,
T921636,C4910,2025-12-01 09:00:00,2025-12-03 18:34:34,Sin conexión,WhatsApp,Baja,
T909139,C3468,2025-02-10 10:00:00,2025-02-11 04:57:40,Sin conexión,Telefónico,Media,
T904228,C3865,2024-11-13 20:00:00,2024-11-13 21:41:09,Sin conexión,Telefónico,Alta,
T911502,C2221,2025-04-11 20:00:00,2025-04-18 19:34:42,Facturación,Telefónico,Baja,1.0
T904757,C1384,2024-12-14 13:00:00,2024-12-15 10:16:58,Conexión lenta / intermitencia,Telefónico,Media,5.0
T924751,C3588,2026-02-20 14:00:00,2026-02-22 05:50:02,Sin conexión,WhatsApp,Baja,3.0
T923368,C4729,2026-01-09 15:00:00,2026-01-10 06:59:30,Consulta comercial,Email,Media,5.0
T908395,C1538,2025-02-23 11:00:00,2025-02-24 11:33:11,Conexión lenta / intermitencia,WhatsApp,Media,
T924419,C2645,2026-02-28 09:00:00,2026-03-02 07:23:03,Conexión lenta / intermitencia,Telefónico,Baja,
T929995,C5751,2026-06-19 08:00:00,2026-06-19 13:55:00,Conexión lenta / intermitencia,Sucursal,Alta,5.0
T903133,C4209,2024-10-09 20:00:00,2024-10-12 01:27:01,WiFi / equipos,Portal web,Baja,
T915165,C3496,2025-07-08 16:00:00,2025-07-08 23:50:29,Sin conexión,Portal web,Alta,4.0
T914836,C2127,2025-07-13 14:00:00,2025-07-14 16:50:27,Sin conexión,Sucursal,Baja,3.0
T923872,C1166,2026-02-16 11:00:00,2026-02-17 06:15:53,Conexión lenta / intermitencia,Portal web,Alta,4.0
T925256,C5138,2026-02-12 14:00:00,2026-02-15 09:30:35,Instalación,Telefónico,Baja,
T928326,C3153,2026-05-15 17:00:00,2026-05-16 23:49:33,WiFi / equipos,Sucursal,Baja,6.0
T928211,C2695,2026-05-26 09:00:00,2026-05-26 10:36:49,Conexión lenta / intermitencia,Email,Alta,5.0
T913746,C2390,2025-06-30 18:00:00,2025-07-01 12:27:31,Facturación,Portal web,Media,5.0
T912536,C1954,2025-05-27 20:00:00,2025-05-28 10:20:59,Sin conexión,Telefónico,Media,4.0
T923733,C5795,2026-01-02 19:00:00,2026-01-03 09:23:55,Sin conexión,Sucursal,Alta,4.0
T906040,C4472,2024-12-11 14:00:00,2024-12-12 05:51:18,Instalación,Email,Baja,
T923695,C5680,2026-01-18 15:00:00,2026-01-19 02:33:48,Facturación,Telefónico,Media,
T930166,C1217,2026-07-16 20:00:00,2026-07-18 19:02:13,Conexión lenta / intermitencia,WhatsApp,Baja,2.0
T904373,C4518,2024-11-30 17:00:00,2024-12-01 08:34:20,Facturación,WhatsApp,Media,
T904795,C1493,2024-12-18 20:00:00,2024-12-20 06:31:38,Conexión lenta / intermitencia,WhatsApp,Media,
T925006,C4404,2026-02-15 16:00:00,2026-02-16 12:48:23,Facturación,WhatsApp,Media,5.0
T901685,C3010,2024-09-06 10:00:00,2024-09-09 08:09:37,Conexión lenta / intermitencia,Sucursal,Baja,
T927944,C1431,2026-05-21 09:00:00,2026-05-24 00:53:07,Conexión lenta / intermitencia,WhatsApp,Baja,1.0
T916297,C3650,2025-08-16 14:00:00,2025-08-18 13:14:32,Cambio de plan,Telefónico,Baja,
T902919,C3336,2024-10-24 20:00:00,2024-10-25 11:08:42,Corte programado,WhatsApp,Baja,5.0
T911449,C1992,2025-04-04 09:00:00,2025-04-07 16:07:31,Consulta comercial,Telefónico,Baja,4.0
T903674,C1912,2024-11-24 12:00:00,2024-11-29 03:03:13,Consulta comercial,WhatsApp,Baja,
